X,Y,Label
6.210104,21.202885,2
-26.739979,-2.3428183,11
-2.2075245,-13.008674,8
-0.21612862,-19.346485,8
-32.77419,5.87019,22
34.835926,42.435165,1
27.798775,39.477074,5
-41.801178,-23.974009,11
-44.15541,-22.043528,15
4.0373178,-28.14006,8
-42.54752,30.270388,7
4.6112685,-1.6057217,8
-49.69428,-4.2773323,22
42.97148,-19.254988,15
-23.536303,45.33096,21
2.8868828,22.428133,2
-48.732132,22.23539,7
33.239185,33.840157,5
30.679197,48.84865,14
40.74263,22.79877,1
16.864273,-22.296627,12
4.4480233,19.603952,2
-31.311409,38.87978,21
47.74155,3.699665,1
29.318396,27.792553,5
-39.41304,30.29557,21
-24.684978,-51.334286,4
2.150579,3.7080681,13
7.9984837,40.874382,21
13.699,26.738173,21
-11.110295,-29.066128,8
-4.9211545,40.010464,21
10.103452,-35.35134,12
-17.037094,-47.39959,4
42.745205,-18.691643,15
-12.874952,46.121387,21
-35.19217,22.112001,7
6.348174,40.806866,21
12.873729,-35.89707,12
3.5462775,13.394853,17
18.874609,7.337622,19
-1.8966345,22.313864,7
22.737286,49.87043,21
44.099514,-21.044256,15
-4.2846603,-8.886626,8
-21.053726,33.130074,21
-46.12111,-24.018673,11
-48.62707,-22.725971,11
27.247026,19.071459,1
24.21054,-8.029254,7
-15.62582,-53.764526,8
12.1953535,26.945026,23
-27.215902,29.072048,21
40.04121,-24.967886,15
-18.572453,-52.012417,4
14.4947405,-18.245787,8
1.6125778,52.78503,6
-10.029488,3.49535,10
-15.137843,-3.9425206,24
-38.961777,14.049911,24
-17.443356,33.383934,21
34.417164,2.9845517,1
-18.613344,37.365395,21
-23.298494,27.710293,21
-36.645546,35.600327,21
-15.740833,24.686672,21
32.562412,35.336155,14
-3.5410335,-46.789238,8
0.20295319,-18.90706,8
3.6644437,-46.446445,8
-17.361698,18.188526,26
46.195286,-16.769512,15
-7.8040767,41.559193,21
-37.797874,-38.480965,4
21.630344,-51.601532,18
-29.794044,-17.270596,8
20.958736,16.896189,19
-40.00284,-30.286226,11
1.484973,17.495285,1
-22.886147,38.62091,21
5.74703,57.01527,6
-7.7043386,25.747667,21
-16.80171,39.5439,21
-13.847635,30.216747,21
15.548253,14.421698,4
-8.799519,15.605785,3
-45.42769,28.507507,7
-47.41091,-2.5293434,21
7.271152,-24.131145,16
-46.58518,-31.168716,11
43.096157,11.148186,1
2.6469324,50.704914,21
-7.2749667,42.916485,1
39.432552,16.033758,1
-26.809984,-0.58561844,8
31.481857,54.404175,7
-38.99428,7.299618,0
-51.589684,20.11313,7
-18.949883,34.114067,21
15.482104,1.9976196,5
-29.846952,-17.506147,16
51.444187,-13.327532,15
-4.0734406,-32.623333,8
48.55326,-15.5538225,26
4.418258,-43.271515,8
-46.292656,26.343979,28
-39.573208,-17.697586,11
30.96491,7.741425,1
2.2948043,-1.739801,8
20.456905,-23.236776,12
4.305877,50.145576,6
-23.21065,4.7818685,0
-20.622316,21.966272,21
18.369118,25.493685,26
26.295929,-1.3493168,26
-29.050314,16.083931,24
-8.19809,-34.407257,8
-37.554844,30.772835,7
34.040615,12.126581,1
-28.572578,38.12364,21
31.511488,50.164387,27
-48.945576,-1.0206673,22
10.915993,-2.9477534,23
27.453842,-3.2079613,28
23.155416,38.915375,5
23.462555,-9.238999,8
-2.9580052,1.9759775,12
-36.865917,33.50285,21
39.763466,-42.28103,27
-38.775154,-17.929417,0
9.599848,-2.313801,21
11.852394,40.492237,9
-25.305546,-51.50122,4
29.621962,-26.771181,12
12.08099,-15.849426,19
-20.247826,8.118372,20
-22.561033,11.197838,6
17.533749,28.204489,28
-12.797494,34.862362,21
-5.691366,-11.117692,8
-11.254441,33.07122,21
48.951927,-21.531782,15
18.668821,-30.513866,12
25.073477,-25.777227,12
37.43051,-19.827177,15
-3.2152922,-35.52494,8
-11.366753,-37.85609,8
-31.335526,5.4532075,21
